Journal du panier alt - top 15 par capitalisation, a chaque date
Une ligne par changement de composition.

2023-06-26  ada, avaxp, bch, cro, doge, etc, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-06-28  ada, avaxp, bch, cro, doge, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-06-30  ada, avaxp, bch, cro, doge, etc, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-07-09  ada, avaxp, bch, cro, doge, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-07-10  ada, avaxp, bch, cro, doge, etc, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-07-11  ada, avaxp, bch, cro, doge, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-07-13  ada, avaxp, bch, cro, doge, etc, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-07-18  ada, avaxp, bch, cro, doge, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-07-19  ada, avaxp, bch, cro, doge, etc, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-07-20  ada, avaxp, bch, cro, doge, leo_eth, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
